Barycentric data loading time: 582.995152ms
2025/10/03 22:37:36 [JOB 1] WAL file samurai.db/280372.log with log number 280372 stopped reading at offset: 1359293; replayed 42 keys in 42 batches
Feeding update tasks to 16 workers
Block: 18911119 phase:modifiedaccounts accounts: 345 time: 5.140980685s
Block: 18911119 phase:balances accounts: 345 time: 147.174315ms
Block: 18911120 phase:modifiedaccounts accounts: 305 time: 4.979689151s
Block: 18911120 phase:balances accounts: 305 time: 152.414698ms
Block: 18911121 phase:modifiedaccounts accounts: 287 time: 4.005917041s
Block: 18911121 phase:balances accounts: 287 time: 100.79371ms
Block: 18911122 phase:modifiedaccounts accounts: 369 time: 4.795466106s
Block: 18911122 phase:balances accounts: 369 time: 139.737635ms
Block: 18911123 phase:modifiedaccounts accounts: 247 time: 5.002858368s
Block: 18911123 phase:balances accounts: 247 time: 83.071484ms
Block: 18911124 phase:modifiedaccounts accounts: 342 time: 4.364364905s
Block: 18911124 phase:balances accounts: 342 time: 126.669036ms
Block: 18911125 phase:modifiedaccounts accounts: 274 time: 3.74486072s
Block: 18911125 phase:balances accounts: 274 time: 133.904056ms
Block: 18911126 phase:modifiedaccounts accounts: 318 time: 4.092976426s
Block: 18911126 phase:balances accounts: 318 time: 134.992761ms
Block: 18911127 phase:modifiedaccounts accounts: 336 time: 4.939710751s
Block: 18911127 phase:balances accounts: 336 time: 101.670555ms
Block: 18911128 phase:modifiedaccounts accounts: 408 time: 4.653869087s
Block: 18911128 phase:balances accounts: 408 time: 192.05047ms
Block: 18911129 phase:modifiedaccounts accounts: 249 time: 4.745404462s
Block: 18911129 phase:balances accounts: 249 time: 75.095623ms
Block: 18911130 phase:modifiedaccounts accounts: 296 time: 5.316644902s
Block: 18911130 phase:balances accounts: 296 time: 149.665713ms
Block: 18911131 phase:modifiedaccounts accounts: 379 time: 3.905072449s
Block: 18911131 phase:balances accounts: 379 time: 248.085424ms
Block: 18911132 phase:modifiedaccounts accounts: 430 time: 5.992149423s
Block: 18911132 phase:balances accounts: 430 time: 523.529611ms
Block: 18911133 phase:modifiedaccounts accounts: 251 time: 4.012772704s
Block: 18911133 phase:balances accounts: 251 time: 122.358667ms
Block: 18911134 phase:modifiedaccounts accounts: 309 time: 3.585142416s
Block: 18911134 phase:balances accounts: 309 time: 95.502349ms
Block: 18911135 phase:modifiedaccounts accounts: 274 time: 5.405397216s
Block: 18911135 phase:balances accounts: 274 time: 117.740918ms
Block: 18911136 phase:modifiedaccounts accounts: 205 time: 4.290342403s
Block: 18911136 phase:balances accounts: 205 time: 77.100806ms
Block: 18911137 phase:modifiedaccounts accounts: 352 time: 5.016872561s
Block: 18911137 phase:balances accounts: 352 time: 141.563225ms
Block: 18911138 phase:modifiedaccounts accounts: 227 time: 4.633645815s
Block: 18911138 phase:balances accounts: 227 time: 113.669288ms
Block: 18911139 phase:modifiedaccounts accounts: 225 time: 3.929028614s
Block: 18911139 phase:balances accounts: 225 time: 106.969553ms
Block: 18911140 phase:modifiedaccounts accounts: 284 time: 5.160977394s
Block: 18911140 phase:balances accounts: 284 time: 96.183443ms
Block: 18911141 phase:modifiedaccounts accounts: 323 time: 4.072042187s
Block: 18911141 phase:balances accounts: 323 time: 98.905282ms
Block: 18911142 phase:modifiedaccounts accounts: 247 time: 4.01492692s
Block: 18911142 phase:balances accounts: 247 time: 106.066798ms
